Package CNVassoc version 2.2
Package built using 73707/R 3.5.0; x86_64-pc-linux-gnu; 2017-11-10 16:19:57 UTC; unix   
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:97
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRinterweibullcov.c:99
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:109
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:114
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:114
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:120
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:120
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRinterweibullcov.c:120

Function NRlogistic
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:81
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:82
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:86
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:87
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:89
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:91
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:94
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:95
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogistic.c:97
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRlogistic.c:107
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRlogistic.c:112
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRlogistic.c:112
  [UP] unprotected variable H2 while calling allocating function Rf_allocVector CNVassoc/src/NRlogistic.c:118
  [UP] unprotected variable ITEROUT while calling allocating function Rf_allocVector CNVassoc/src/NRlogistic.c:118
  [UP] unprotected variable RESPARAM while calling allocating function Rf_allocVector CNVassoc/src/NRlogistic.c:118

Function NRlogisticcov
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:81
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:82
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:83
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:84
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:86
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:87
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:89
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:91
  [UP] unprotected variable H2 while calling allocating function Rprintf CNVassoc/src/NRlogisticcov.c:94
